"taxon"	"kingdom"	"phylum"	"class"	"order"	"family"	"genus"
"Bacteria.Pseudomonadota.Alphaproteobacteria.Hyphomicrobiales.Xanthobacteraceae.Starkeya"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Xanthobacteraceae"	"Starkeya"
"Bacteria.Bacillota.Bacilli.Kyrpidiales.Kyrpidiaceae.Kyrpidia"	"Bacteria"	"Bacillota"	"Bacilli"	"Kyrpidiales"	"Kyrpidiaceae"	"Kyrpidia"
"Bacteria.Actinomycetota.Actinobacteria.Micrococcales.Promicromonosporaceae.Isoptericola"	"Bacteria"	"Actinomycetota"	"Actinobacteria"	"Micrococcales"	"Promicromonosporaceae"	"Isoptericola"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Burkholderiales.Comamonadaceae.Lampropedia"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Lampropedia"
"Bacteria.Bacillota.Clostridia.Clostridiales.Clostridiaceae.Proteiniclasticum"	"Bacteria"	"Bacillota"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Proteiniclasticum"
"Bacteria.Actinomycetota.Actinobacteria.Micrococcales.Micrococcaceae.Paenarthrobacter"	"Bacteria"	"Actinomycetota"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Paenarthrobacter"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Burkholderiales.Comamonadaceae.Curvibacter"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Curvibacter"
"Bacteria.Bacteroidota.Bacteroidia.Chitinophagales.Chitinophagaceae.Taibaiella"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	"Taibaiella"
"Bacteria.Bacteroidota.Bacteroidia.Cytophagales.Cytophagaceae.Cytophaga"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Cytophagaceae"	"Cytophaga"
"Bacteria.Bdellovibrionota.Bacteriovoracia.Bacteriovoracales.Bacteriovoracaceae.Bacteriovorax"	"Bacteria"	"Bdellovibrionota"	"Bacteriovoracia"	"Bacteriovoracales"	"Bacteriovoracaceae"	"Bacteriovorax"
"Bacteria.Bdellovibrionota.Bdellovibrionia.Bdellovibrionales.Pseudobdellovibrionaceae.Pseudobdellovibrio"	"Bacteria"	"Bdellovibrionota"	"Bdellovibrionia"	"Bdellovibrionales"	"Pseudobdellovibrionaceae"	"Pseudobdellovibrio"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Burkholderiales.Comamonadaceae.Xylophilus"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Xylophilus"
"Bacteria.Actinomycetota.Actinobacteria.Mycobacteriales.Nocardiaceae.Nocardia"	"Bacteria"	"Actinomycetota"	"Actinobacteria"	"Mycobacteriales"	"Nocardiaceae"	"Nocardia"
"Bacteria.Bacillota.Thermoanaerobacteria.Thermoanaerobacterales.Thermoanaerobacteraceae.Caldanaerobacter"	"Bacteria"	"Bacillota"	"Thermoanaerobacteria"	"Thermoanaerobacterales"	"Thermoanaerobacteraceae"	"Caldanaerobacter"
"Bacteria.Actinomycetota.Acidimicrobiia.Microtrichales.Incertae Sedis.Incertae Sedis"	"Bacteria"	"Actinomycetota"	"Acidimicrobiia"	"Microtrichales"	"Incertae Sedis"	"Incertae Sedis"
"Bacteria.Actinomycetota.Actinobacteria.Micromonosporales.Micromonosporaceae.Couchioplanes"	"Bacteria"	"Actinomycetota"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"Couchioplanes"
"Bacteria.Chloroflexota.Chloroflexia.Thermomicrobiales.JG30-KF-CM45.Incertae Sedis"	"Bacteria"	"Chloroflexota"	"Chloroflexia"	"Thermomicrobiales"	"JG30-KF-CM45"	"Incertae Sedis"
"Bacteria.Cyanobacteriota.Cyanobacteriia.Cyanobacteriales.Phormidiaceae.Tychonema CCAP 1459-11B"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Cyanobacteriales"	"Phormidiaceae"	"Tychonema CCAP 1459-11B"
"Bacteria.Gemmatimonadota.Longimicrobiia.Longimicrobiales.Longimicrobiaceae.Incertae Sedis"	"Bacteria"	"Gemmatimonadota"	"Longimicrobiia"	"Longimicrobiales"	"Longimicrobiaceae"	"Incertae Sedis"
"Bacteria.Pseudomonadota.Alphaproteobacteria.Acetobacterales.Acetobacteraceae.Incertae Sedis"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Acetobacterales"	"Acetobacteraceae"	"Incertae Sedis"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Burkholderiales.Oxalobacteraceae.Oxalicibacterium"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"Oxalicibacterium"
"Bacteria.Verrucomicrobiota.Verrucomicrobiia.Chthoniobacterales.Chthoniobacteraceae.Chthoniobacter"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiia"	"Chthoniobacterales"	"Chthoniobacteraceae"	"Chthoniobacter"
"Bacteria.Bacillota.Bacilli.Thermoactinomycetales.Thermoactinomycetaceae.Kroppenstedtia"	"Bacteria"	"Bacillota"	"Bacilli"	"Thermoactinomycetales"	"Thermoactinomycetaceae"	"Kroppenstedtia"
"Bacteria.Actinomycetota.Coriobacteriia.Coriobacteriales.Coriobacteriales Incertae Sedis.Phoenicibacter"	"Bacteria"	"Actinomycetota"	"Coriobacteriia"	"Coriobacteriales"	"Coriobacteriales Incertae Sedis"	"Phoenicibacter"
"Bacteria.Bacillota.Bacilli.Bacillales.Bacillaceae.Halalkalibacterium"	"Bacteria"	"Bacillota"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Halalkalibacterium"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Enterobacterales.Yersiniaceae.Gibbsiella"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Enterobacterales"	"Yersiniaceae"	"Gibbsiella"
"Bacteria.Verrucomicrobiota.Verrucomicrobiia.Chthoniobacterales.Terrimicrobiaceae.FukuN18 freshwater group"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiia"	"Chthoniobacterales"	"Terrimicrobiaceae"	"FukuN18 freshwater group"
"Bacteria.Bacteroidota.Bacteroidia.Chitinophagales.37-13.Incertae Sedis"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"37-13"	"Incertae Sedis"
"Bacteria.Bacteroidota.Bacteroidia.Sphingobacteriales.Sphingobacteriaceae.Solitalea"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Solitalea"
"Bacteria.Bdellovibrionota.Bacteriovoracia.Bacteriovoracales.Bacteriovoracaceae.Peredibacter"	"Bacteria"	"Bdellovibrionota"	"Bacteriovoracia"	"Bacteriovoracales"	"Bacteriovoracaceae"	"Peredibacter"
"Bacteria.Pseudomonadota.Alphaproteobacteria.Caulobacterales.Hyphomonadaceae.Hirschia"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Caulobacterales"	"Hyphomonadaceae"	"Hirschia"
"Bacteria.Pseudomonadota.Alphaproteobacteria.Hyphomicrobiales.Devosiaceae.Incertae Sedis"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Devosiaceae"	"Incertae Sedis"
"Bacteria.Pseudomonadota.Alphaproteobacteria.Micavibrionales.Incertae Sedis.Incertae Sedis"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Micavibrionales"	"Incertae Sedis"	"Incertae Sedis"
"Bacteria.Pseudomonadota.Alphaproteobacteria.Micropepsales.Micropepsaceae.Incertae Sedis"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Micropepsales"	"Micropepsaceae"	"Incertae Sedis"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Pseudomonadales.Moraxellaceae.Perlucidibaca"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Perlucidibaca"
"Bacteria.Verrucomicrobiota.Verrucomicrobiia.Verrucomicrobiales.Verrucomicrobiaceae.Prosthecobacter"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiia"	"Verrucomicrobiales"	"Verrucomicrobiaceae"	"Prosthecobacter"
"Bacteria.Pseudomonadota.Alphaproteobacteria.Micavibrionales.NA.NA"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Micavibrionales"	"NA"	"NA"
"Bacteria.Synergistota.Synergistia.Synergistales.Synergistaceae.Acetomicrobium"	"Bacteria"	"Synergistota"	"Synergistia"	"Synergistales"	"Synergistaceae"	"Acetomicrobium"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Burkholderiales.Hydrogenophilaceae.Tepidiphilus"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Hydrogenophilaceae"	"Tepidiphilus"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Burkholderiales.TRA3-20.Incertae Sedis"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"TRA3-20"	"Incertae Sedis"
"Bacteria.Pseudomonadota.Alphaproteobacteria.Hyphomicrobiales.Beijerinckiaceae.Pseudochelatococcus"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Beijerinckiaceae"	"Pseudochelatococcus"
"Bacteria.Bacteroidota.Bacteroidia.Sphingobacteriales.NS11-12 marine group.Incertae Sedis"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"NS11-12 marine group"	"Incertae Sedis"
"Bacteria.Bacteroidota.Bacteroidia.Sphingobacteriales.Sphingobacteriaceae.Daejeonella"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Daejeonella"
"Bacteria.Cyanobacteriota.Sericytochromatia.Incertae Sedis.Incertae Sedis.Incertae Sedis"	"Bacteria"	"Cyanobacteriota"	"Sericytochromatia"	"Incertae Sedis"	"Incertae Sedis"	"Incertae Sedis"
"Bacteria.Pseudomonadota.Alphaproteobacteria.Ferrovibrionales.Ferrovibrionaceae.Ferrovibrio"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Ferrovibrionales"	"Ferrovibrionaceae"	"Ferrovibrio"
"Bacteria.Pseudomonadota.Alphaproteobacteria.Reyranellales.Reyranellaceae.Reyranella"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Reyranellales"	"Reyranellaceae"	"Reyranella"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Burkholderiales.Comamonadaceae.Pseudacidovorax"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Pseudacidovorax"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Burkholderiales.Rhodocyclaceae.Georgfuchsia"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Rhodocyclaceae"	"Georgfuchsia"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Salinisphaerales.Nevskiaceae.Incertae Sedis"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Salinisphaerales"	"Nevskiaceae"	"Incertae Sedis"
"Bacteria.Acidobacteriota.Blastocatellia.11-24.Incertae Sedis.Incertae Sedis"	"Bacteria"	"Acidobacteriota"	"Blastocatellia"	"11-24"	"Incertae Sedis"	"Incertae Sedis"
"Bacteria.Actinomycetota.Actinobacteria.Frankiales.Geodermatophilaceae.Modestobacter"	"Bacteria"	"Actinomycetota"	"Actinobacteria"	"Frankiales"	"Geodermatophilaceae"	"Modestobacter"
"Bacteria.Actinomycetota.Thermoleophilia.Solirubrobacterales.Solirubrobacteraceae.Solirubrobacter"	"Bacteria"	"Actinomycetota"	"Thermoleophilia"	"Solirubrobacterales"	"Solirubrobacteraceae"	"Solirubrobacter"
"Bacteria.Bacteroidota.Bacteroidia.Chitinophagales.Chitinophagaceae.Filimonas"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	"Filimonas"
"Bacteria.Bacteroidota.Bacteroidia.Cytophagales.Hymenobacteraceae.Adhaeribacter"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Hymenobacteraceae"	"Adhaeribacter"
"Bacteria.Bdellovibrionota.Bdellovibrionia.Bdellovibrionales.Pseudobdellovibrionaceae.Incertae Sedis"	"Bacteria"	"Bdellovibrionota"	"Bdellovibrionia"	"Bdellovibrionales"	"Pseudobdellovibrionaceae"	"Incertae Sedis"
"Bacteria.Bdellovibrionota.Oligoflexia.Oligoflexales.Oligoflexaceae.Oligoflexus"	"Bacteria"	"Bdellovibrionota"	"Oligoflexia"	"Oligoflexales"	"Oligoflexaceae"	"Oligoflexus"
"Bacteria.Cyanobacteriota.Cyanobacteriia.Cyanobacteriales.Phormidiaceae.Trichocoleus SAG 26.92"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Cyanobacteriales"	"Phormidiaceae"	"Trichocoleus SAG 26"
"Bacteria.Pseudomonadota.Alphaproteobacteria.Caulobacterales.NA.NA"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Caulobacterales"	"NA"	"NA"
"Bacteria.Pseudomonadota.Alphaproteobacteria.Hyphomicrobiales.Xanthobacteraceae.Incertae Sedis"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Xanthobacteraceae"	"Incertae Sedis"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Steroidobacterales.Steroidobacteraceae.Steroidobacter"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Steroidobacterales"	"Steroidobacteraceae"	"Steroidobacter"
"Bacteria.Bacillota.Bacilli.Bacillales.Bacillaceae.Fictibacillus"	"Bacteria"	"Bacillota"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Fictibacillus"
"Bacteria.Pseudomonadota.Alphaproteobacteria.Sphingomonadales.Sphingomonadaceae.Erythrobacter"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Erythrobacter"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Nitrococcales.Nitrococcaceae.NA"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Nitrococcales"	"Nitrococcaceae"	"NA"
"Bacteria.Bacillota.Bacilli.Bacillales.Planococcaceae.Chryseomicrobium"	"Bacteria"	"Bacillota"	"Bacilli"	"Bacillales"	"Planococcaceae"	"Chryseomicrobium"
"Bacteria.Bacillota.Bacilli.Bacillales.Planococcaceae.Bhargavaea"	"Bacteria"	"Bacillota"	"Bacilli"	"Bacillales"	"Planococcaceae"	"Bhargavaea"
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Paludibacteraceae.Incertae Sedis"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Paludibacteraceae"	"Incertae Sedis"
"Bacteria.Actinomycetota.Actinobacteria.Micrococcales.Brevibacteriaceae.Sediminivirga"	"Bacteria"	"Actinomycetota"	"Actinobacteria"	"Micrococcales"	"Brevibacteriaceae"	"Sediminivirga"
"Bacteria.Bacteroidota.Bacteroidia.Sphingobacteriales.Sphingobacteriaceae.NA"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"Sphingobacteriaceae"	"NA"
"Bacteria.Actinomycetota.Actinobacteria.Pseudonocardiales.Pseudonocardiaceae.Prauserella"	"Bacteria"	"Actinomycetota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Prauserella"
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Paludibacteraceae.Paludibacter"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Paludibacteraceae"	"Paludibacter"
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Dysgonomonadaceae.NA"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Dysgonomonadaceae"	"NA"
"Bacteria.Bacillota.Bacilli.Bacillales.Planococcaceae.Viridibacillus"	"Bacteria"	"Bacillota"	"Bacilli"	"Bacillales"	"Planococcaceae"	"Viridibacillus"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Lysobacterales.Rhodanobacteraceae.Chiayiivirga"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Lysobacterales"	"Rhodanobacteraceae"	"Chiayiivirga"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Burkholderiales.Comamonadaceae.Simplicispira"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Simplicispira"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Pseudomonadales.Moraxellaceae.Faucicola"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Faucicola"
"Archaea.Methanobacteriota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobacterium"	"Archaea"	"Methanobacteriota"	"Methanobacteria"	"Methanobacteriales"	"Methanobacteriaceae"	"Methanobacterium"
"Bacteria.Verrucomicrobiota.Lentisphaeria.Oligosphaerales.Oligosphaeraceae.Z20"	"Bacteria"	"Verrucomicrobiota"	"Lentisphaeria"	"Oligosphaerales"	"Oligosphaeraceae"	"Z20"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Burkholderiales.Rhodocyclaceae.Azospira"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Rhodocyclaceae"	"Azospira"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Enterobacterales.Budviciaceae.Leminorella"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Enterobacterales"	"Budviciaceae"	"Leminorella"
"Bacteria.Actinomycetota.Actinobacteria.Streptosporangiales.Thermomonosporaceae.Actinocorallia"	"Bacteria"	"Actinomycetota"	"Actinobacteria"	"Streptosporangiales"	"Thermomonosporaceae"	"Actinocorallia"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Burkholderiales.Alcaligenaceae.Eoetvoesia"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Alcaligenaceae"	"Eoetvoesia"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Burkholderiales.Comamonadaceae.Extensimonas"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Extensimonas"
"Bacteria.Bacteroidota.Bacteroidia.Cytophagales.Cyclobacteriaceae.Algoriphagus"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Cyclobacteriaceae"	"Algoriphagus"
"Bacteria.Planctomycetota.Phycisphaerae.Tepidisphaerales.Incertae Sedis.Incertae Sedis"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"Tepidisphaerales"	"Incertae Sedis"	"Incertae Sedis"
"Bacteria.Pseudomonadota.Alphaproteobacteria.Sphingomonadales.Sphingomonadaceae.Qipengyuania"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Qipengyuania"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Lysobacterales.Rhodanobacteraceae.Luteibacter"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Lysobacterales"	"Rhodanobacteraceae"	"Luteibacter"
"Bacteria.Bacillota.Negativicutes.Veillonellales-Selenomonadales.Sporomusaceae.Anaerosinus"	"Bacteria"	"Bacillota"	"Negativicutes"	"Veillonellales-Selenomonadales"	"Sporomusaceae"	"Anaerosinus"
"Bacteria.Planctomycetota.Planctomycetes.Gemmatales.Gemmataceae.Gemmata"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Gemmatales"	"Gemmataceae"	"Gemmata"
"Bacteria.Verrucomicrobiota.Verrucomicrobiia.Verrucomicrobiales.Incertae Sedis.Incertae Sedis"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiia"	"Verrucomicrobiales"	"Incertae Sedis"	"Incertae Sedis"
"Bacteria.Pseudomonadota.Alphaproteobacteria.Hyphomicrobiales.Beijerinckiaceae.Enterovirga"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Beijerinckiaceae"	"Enterovirga"
"Bacteria.Bacillota.Clostridia.Oscillospirales.Ruminococcaceae.UCG-001"	"Bacteria"	"Bacillota"	"Clostridia"	"Oscillospirales"	"Ruminococcaceae"	"UCG-001"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Cardiobacteriales.Wohlfahrtiimonadaceae.Wohlfahrtiimonas"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Cardiobacteriales"	"Wohlfahrtiimonadaceae"	"Wohlfahrtiimonas"
"Bacteria.Actinomycetota.Actinobacteria.Propionibacteriales.Nocardioidaceae.Kribbella"	"Bacteria"	"Actinomycetota"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Kribbella"
"Bacteria.Actinomycetota.Actinobacteria.Streptosporangiales.Thermomonosporaceae.Actinomadura"	"Bacteria"	"Actinomycetota"	"Actinobacteria"	"Streptosporangiales"	"Thermomonosporaceae"	"Actinomadura"
"Bacteria.Pseudomonadota.Alphaproteobacteria.Acetobacterales.Acetobacteraceae.Rhodopila"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Acetobacterales"	"Acetobacteraceae"	"Rhodopila"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Burkholderiales.Neisseriaceae.Conchiformibius"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Neisseriaceae"	"Conchiformibius"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Enterobacterales.Alteromonadaceae.Glaciecola"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Enterobacterales"	"Alteromonadaceae"	"Glaciecola"
"Bacteria.Verrucomicrobiota.Verrucomicrobiia.Chthoniobacterales.Chthoniobacteraceae.Candidatus Udaeobacter"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiia"	"Chthoniobacterales"	"Chthoniobacteraceae"	"Candidatus Udaeobacter"
"Bacteria.Actinomycetota.Actinobacteria.Micrococcales.Micrococcaceae.Citricoccus"	"Bacteria"	"Actinomycetota"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Citricoccus"
"Bacteria.Actinomycetota.Actinobacteria.Micromonosporales.Micromonosporaceae.Actinoplanes"	"Bacteria"	"Actinomycetota"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"Actinoplanes"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Burkholderiales.Comamonadaceae.Rhizobacter"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Rhizobacter"
"Bacteria.Patescibacteria.ABY1.Candidatus Magasanikbacteria.Incertae Sedis.Incertae Sedis"	"Bacteria"	"Patescibacteria"	"ABY1"	"Candidatus Magasanikbacteria"	"Incertae Sedis"	"Incertae Sedis"
"Bacteria.Pseudomonadota.Alphaproteobacteria.Tistrellales.Geminicoccaceae.Candidatus Alysiosphaera"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Tistrellales"	"Geminicoccaceae"	"Candidatus Alysiosphaera"
"Bacteria.Acidobacteriota.Blastocatellia.Blastocatellales.Blastocatellaceae.Incertae Sedis"	"Bacteria"	"Acidobacteriota"	"Blastocatellia"	"Blastocatellales"	"Blastocatellaceae"	"Incertae Sedis"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Burkholderiales.Oxalobacteraceae.Noviherbaspirillum"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"Noviherbaspirillum"
"Bacteria.Bacteroidota.Bacteroidia.Chitinophagales.Chitinophagaceae.Flavihumibacter"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	"Flavihumibacter"
"Bacteria.Bacillota.Bacilli.Lactobacillales.Carnobacteriaceae.Trichococcus"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Carnobacteriaceae"	"Trichococcus"
"Bacteria.Bacteroidota.Bacteroidia.Cytophagales.Spirosomataceae.Leadbetterella"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Spirosomataceae"	"Leadbetterella"
"Bacteria.Pseudomonadota.Alphaproteobacteria.Elsterales.Incertae Sedis.Incertae Sedis"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Elsterales"	"Incertae Sedis"	"Incertae Sedis"
"Bacteria.Pseudomonadota.Alphaproteobacteria.Sphingomonadales.Sphingomonadaceae.Sphingoaurantiacus"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingoaurantiacus"
"Bacteria.Actinomycetota.Actinobacteria.Micrococcales.Bogoriellaceae.Georgenia"	"Bacteria"	"Actinomycetota"	"Actinobacteria"	"Micrococcales"	"Bogoriellaceae"	"Georgenia"
"Bacteria.Bacillota.Bacilli.Lactobacillales.Aerococcaceae.Incertae Sedis"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Aerococcaceae"	"Incertae Sedis"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Cardiobacteriales.Wohlfahrtiimonadaceae.Ignatzschineria"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Cardiobacteriales"	"Wohlfahrtiimonadaceae"	"Ignatzschineria"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Enterobacterales.Aeromonadaceae.Oceanisphaera"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Enterobacterales"	"Aeromonadaceae"	"Oceanisphaera"
"Bacteria.Bacillota.Bacilli.Thermicanales.Thermicanaceae.Hydrogenibacillus"	"Bacteria"	"Bacillota"	"Bacilli"	"Thermicanales"	"Thermicanaceae"	"Hydrogenibacillus"
"Bacteria.Dadabacteria.Dadabacteriia.Dadabacteriales.Incertae Sedis.CSP1-2"	"Bacteria"	"Dadabacteria"	"Dadabacteriia"	"Dadabacteriales"	"Incertae Sedis"	"CSP1-2"
"Bacteria.Pseudomonadota.Gammaproteobacteria.Pseudomonadales.Pseudomonadaceae.Thiopseudomonas"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Thiopseudomonas"
"Bacteria.Bacillota.Bacilli.Bacillales.Bacillaceae.Thalassobacillus"	"Bacteria"	"Bacillota"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Thalassobacillus"
"Bacteria.Actinomycetota.Actinobacteria.Mycobacteriales.Nocardiaceae.Williamsia"	"Bacteria"	"Actinomycetota"	"Actinobacteria"	"Mycobacteriales"	"Nocardiaceae"	"Williamsia"
"Bacteria.Bacillota.Bacilli.Paenibacillales.Paenibacillaceae.Cohnella"	"Bacteria"	"Bacillota"	"Bacilli"	"Paenibacillales"	"Paenibacillaceae"	"Cohnella"
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Porphyromonadaceae.NA"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"NA"
